origin	destination	north_south_indicator
paraguay	united_states	-1
paraguay	jamaica	-1
paraguay	honduras	-1
paraguay	colombia	-1
paraguay	mexico	-1
paraguay	saint_kitts_nevis	-1
paraguay	turks_caicos_islands	-1
paraguay	sint_maarten	-1
paraguay	saint_vincent_grenadines	-1
paraguay	nicaragua	-1
paraguay	barbados	-1
paraguay	canada	-1
paraguay	united_states_virgin_islands	-1
paraguay	curacao	-1
paraguay	bolivia	-1
paraguay	panama	-1
paraguay	uruguay	1
paraguay	bahamas	-1
paraguay	bermuda	-1
paraguay	aruba	-1
paraguay	peru	-1
paraguay	costa_rica	-1
paraguay	anguilla	-1
paraguay	venezuela	-1
paraguay	french_guiana	-1
paraguay	cayman_islands	-1
paraguay	brazil	-1
paraguay	trinidad_tobago	-1
paraguay	dominican_republic	-1
paraguay	cuba	-1
paraguay	guatemala	-1
paraguay	chile	1
paraguay	martinique	-1
paraguay	haiti	-1
paraguay	belize	-1
paraguay	argentina	1
paraguay	dominica	-1
paraguay	suriname	-1
paraguay	saint_lucia	-1
paraguay	el_salvador	-1
paraguay	puerto_rico	-1
paraguay	british_virgin_islands	-1
paraguay	ecuador	-1
paraguay	guyana	-1
paraguay	grenada	-1
paraguay	guadeloupe	-1
paraguay	antigua_barbuda	-1
nicaragua	united_states	-1
nicaragua	jamaica	-1
nicaragua	honduras	-1
nicaragua	colombia	1
nicaragua	mexico	-1
nicaragua	saint_kitts_nevis	-1
nicaragua	turks_caicos_islands	-1
nicaragua	sint_maarten	-1
nicaragua	saint_vincent_grenadines	-1
nicaragua	paraguay	1
nicaragua	barbados	-1
nicaragua	canada	-1
nicaragua	united_states_virgin_islands	-1
nicaragua	curacao	1
nicaragua	bolivia	1
nicaragua	panama	1
nicaragua	uruguay	1
nicaragua	bahamas	-1
nicaragua	bermuda	-1
nicaragua	aruba	-1
nicaragua	peru	1
nicaragua	costa_rica	1
nicaragua	anguilla	-1
nicaragua	venezuela	1
nicaragua	french_guiana	1
nicaragua	cayman_islands	-1
nicaragua	brazil	1
nicaragua	trinidad_tobago	1
nicaragua	dominican_republic	-1
nicaragua	cuba	-1
nicaragua	guatemala	-1
nicaragua	chile	1
nicaragua	martinique	-1
nicaragua	haiti	-1
nicaragua	belize	-1
nicaragua	argentina	1
nicaragua	dominica	-1
nicaragua	suriname	1
nicaragua	saint_lucia	-1
nicaragua	el_salvador	-1
nicaragua	puerto_rico	-1
nicaragua	british_virgin_islands	-1
nicaragua	ecuador	1
nicaragua	guyana	1
nicaragua	grenada	1
nicaragua	guadeloupe	-1
nicaragua	antigua_barbuda	-1
barbados	united_states	-1
barbados	jamaica	-1
barbados	honduras	-1
barbados	colombia	1
barbados	mexico	-1
barbados	saint_kitts_nevis	-1
barbados	turks_caicos_islands	-1
barbados	sint_maarten	-1
barbados	saint_vincent_grenadines	-1
barbados	paraguay	1
barbados	nicaragua	1
barbados	canada	-1
barbados	united_states_virgin_islands	-1
barbados	curacao	1
barbados	bolivia	1
barbados	panama	1
barbados	uruguay	1
barbados	bahamas	-1
barbados	bermuda	-1
barbados	aruba	1
barbados	peru	1
barbados	costa_rica	1
barbados	anguilla	-1
barbados	venezuela	1
barbados	french_guiana	1
barbados	cayman_islands	-1
barbados	brazil	1
barbados	trinidad_tobago	1
barbados	dominican_republic	-1
barbados	cuba	-1
barbados	guatemala	-1
barbados	chile	1
barbados	martinique	-1
barbados	haiti	-1
barbados	belize	-1
barbados	argentina	1
barbados	dominica	-1
barbados	suriname	1
barbados	saint_lucia	-1
barbados	el_salvador	-1
barbados	puerto_rico	-1
barbados	british_virgin_islands	-1
barbados	ecuador	1
barbados	guyana	1
barbados	grenada	1
barbados	guadeloupe	-1
barbados	antigua_barbuda	-1
canada	united_states	1
canada	jamaica	1
canada	honduras	1
canada	colombia	1
canada	mexico	1
canada	saint_kitts_nevis	1
canada	turks_caicos_islands	1
canada	sint_maarten	1
canada	saint_vincent_grenadines	1
canada	paraguay	1
canada	nicaragua	1
canada	barbados	1
canada	united_states_virgin_islands	1
canada	curacao	1
canada	bolivia	1
canada	panama	1
canada	uruguay	1
canada	bahamas	1
canada	bermuda	1
canada	aruba	1
canada	peru	1
canada	costa_rica	1
canada	anguilla	1
canada	venezuela	1
canada	french_guiana	1
canada	cayman_islands	1
canada	brazil	1
canada	trinidad_tobago	1
canada	dominican_republic	1
canada	cuba	1
canada	guatemala	1
canada	chile	1
canada	martinique	1
canada	haiti	1
canada	belize	1
canada	argentina	1
canada	dominica	1
canada	suriname	1
canada	saint_lucia	1
canada	el_salvador	1
canada	puerto_rico	1
canada	british_virgin_islands	1
canada	ecuador	1
canada	guyana	1
canada	grenada	1
canada	guadeloupe	1
canada	antigua_barbuda	1
united_states_virgin_islands	united_states	-1
united_states_virgin_islands	jamaica	1
united_states_virgin_islands	honduras	1
united_states_virgin_islands	colombia	1
united_states_virgin_islands	mexico	-1
united_states_virgin_islands	saint_kitts_nevis	1
united_states_virgin_islands	turks_caicos_islands	-1
united_states_virgin_islands	sint_maarten	1
united_states_virgin_islands	saint_vincent_grenadines	1
united_states_virgin_islands	paraguay	1
united_states_virgin_islands	nicaragua	1
united_states_virgin_islands	barbados	1
united_states_virgin_islands	canada	-1
united_states_virgin_islands	curacao	1
united_states_virgin_islands	bolivia	1
united_states_virgin_islands	panama	1
united_states_virgin_islands	uruguay	1
united_states_virgin_islands	bahamas	-1
united_states_virgin_islands	bermuda	-1
united_states_virgin_islands	aruba	1
united_states_virgin_islands	peru	1
united_states_virgin_islands	costa_rica	1
united_states_virgin_islands	anguilla	-1
united_states_virgin_islands	venezuela	1
united_states_virgin_islands	french_guiana	1
united_states_virgin_islands	cayman_islands	-1
united_states_virgin_islands	brazil	1
united_states_virgin_islands	trinidad_tobago	1
united_states_virgin_islands	dominican_republic	-1
united_states_virgin_islands	cuba	-1
united_states_virgin_islands	guatemala	1
united_states_virgin_islands	chile	1
united_states_virgin_islands	martinique	1
united_states_virgin_islands	haiti	-1
united_states_virgin_islands	belize	1
united_states_virgin_islands	argentina	1
united_states_virgin_islands	dominica	1
united_states_virgin_islands	suriname	1
united_states_virgin_islands	saint_lucia	1
united_states_virgin_islands	el_salvador	1
united_states_virgin_islands	puerto_rico	-1
united_states_virgin_islands	british_virgin_islands	-1
united_states_virgin_islands	ecuador	1
united_states_virgin_islands	guyana	1
united_states_virgin_islands	grenada	1
united_states_virgin_islands	guadeloupe	1
united_states_virgin_islands	antigua_barbuda	1
curacao	united_states	-1
curacao	jamaica	-1
curacao	honduras	-1
curacao	colombia	1
curacao	mexico	-1
curacao	saint_kitts_nevis	-1
curacao	turks_caicos_islands	-1
curacao	sint_maarten	-1
curacao	saint_vincent_grenadines	-1
curacao	paraguay	1
curacao	nicaragua	-1
curacao	barbados	-1
curacao	canada	-1
curacao	united_states_virgin_islands	-1
curacao	bolivia	1
curacao	panama	1
curacao	uruguay	1
curacao	bahamas	-1
curacao	bermuda	-1
curacao	aruba	-1
curacao	peru	1
curacao	costa_rica	1
curacao	anguilla	-1
curacao	venezuela	1
curacao	french_guiana	1
curacao	cayman_islands	-1
curacao	brazil	1
curacao	trinidad_tobago	1
curacao	dominican_republic	-1
curacao	cuba	-1
curacao	guatemala	-1
curacao	chile	1
curacao	martinique	-1
curacao	haiti	-1
curacao	belize	-1
curacao	argentina	1
curacao	dominica	-1
curacao	suriname	1
curacao	saint_lucia	-1
curacao	el_salvador	-1
curacao	puerto_rico	-1
curacao	british_virgin_islands	-1
curacao	ecuador	1
curacao	guyana	1
curacao	grenada	-1
curacao	guadeloupe	-1
curacao	antigua_barbuda	-1
bolivia	united_states	-1
bolivia	jamaica	-1
bolivia	honduras	-1
bolivia	colombia	-1
bolivia	mexico	-1
bolivia	saint_kitts_nevis	-1
bolivia	turks_caicos_islands	-1
bolivia	sint_maarten	-1
bolivia	saint_vincent_grenadines	-1
bolivia	paraguay	1
bolivia	nicaragua	-1
bolivia	barbados	-1
bolivia	canada	-1
bolivia	united_states_virgin_islands	-1
bolivia	curacao	-1
bolivia	panama	-1
bolivia	uruguay	1
bolivia	bahamas	-1
bolivia	bermuda	-1
bolivia	aruba	-1
bolivia	peru	-1
bolivia	costa_rica	-1
bolivia	anguilla	-1
bolivia	venezuela	-1
bolivia	french_guiana	-1
bolivia	cayman_islands	-1
bolivia	brazil	1
bolivia	trinidad_tobago	-1
bolivia	dominican_republic	-1
bolivia	cuba	-1
bolivia	guatemala	-1
bolivia	chile	1
bolivia	martinique	-1
bolivia	haiti	-1
bolivia	belize	-1
bolivia	argentina	1
bolivia	dominica	-1
bolivia	suriname	-1
bolivia	saint_lucia	-1
bolivia	el_salvador	-1
bolivia	puerto_rico	-1
bolivia	british_virgin_islands	-1
bolivia	ecuador	-1
bolivia	guyana	-1
bolivia	grenada	-1
bolivia	guadeloupe	-1
bolivia	antigua_barbuda	-1
panama	united_states	-1
panama	jamaica	-1
panama	honduras	-1
panama	colombia	1
panama	mexico	-1
panama	saint_kitts_nevis	-1
panama	turks_caicos_islands	-1
panama	sint_maarten	-1
panama	saint_vincent_grenadines	-1
panama	paraguay	1
panama	nicaragua	-1
panama	barbados	-1
panama	canada	-1
panama	united_states_virgin_islands	-1
panama	curacao	-1
panama	bolivia	1
panama	uruguay	1
panama	bahamas	-1
panama	bermuda	-1
panama	aruba	-1
panama	peru	1
panama	costa_rica	-1
panama	anguilla	-1
panama	venezuela	-1
panama	french_guiana	1
panama	cayman_islands	-1
panama	brazil	1
panama	trinidad_tobago	-1
panama	dominican_republic	-1
panama	cuba	-1
panama	guatemala	-1
panama	chile	1
panama	martinique	-1
panama	haiti	-1
panama	belize	-1
panama	argentina	1
panama	dominica	-1
panama	suriname	1
panama	saint_lucia	-1
panama	el_salvador	-1
panama	puerto_rico	-1
panama	british_virgin_islands	-1
panama	ecuador	1
panama	guyana	1
panama	grenada	-1
panama	guadeloupe	-1
panama	antigua_barbuda	-1
uruguay	united_states	-1
uruguay	jamaica	-1
uruguay	honduras	-1
uruguay	colombia	-1
uruguay	mexico	-1
uruguay	saint_kitts_nevis	-1
uruguay	turks_caicos_islands	-1
uruguay	sint_maarten	-1
uruguay	saint_vincent_grenadines	-1
uruguay	paraguay	-1
uruguay	nicaragua	-1
uruguay	barbados	-1
uruguay	canada	-1
uruguay	united_states_virgin_islands	-1
uruguay	curacao	-1
uruguay	bolivia	-1
uruguay	panama	-1
uruguay	bahamas	-1
uruguay	bermuda	-1
uruguay	aruba	-1
uruguay	peru	-1
uruguay	costa_rica	-1
uruguay	anguilla	-1
uruguay	venezuela	-1
uruguay	french_guiana	-1
uruguay	cayman_islands	-1
uruguay	brazil	-1
uruguay	trinidad_tobago	-1
uruguay	dominican_republic	-1
uruguay	cuba	-1
uruguay	guatemala	-1
uruguay	chile	-1
uruguay	martinique	-1
uruguay	haiti	-1
uruguay	belize	-1
uruguay	argentina	-1
uruguay	dominica	-1
uruguay	suriname	-1
uruguay	saint_lucia	-1
uruguay	el_salvador	-1
uruguay	puerto_rico	-1
uruguay	british_virgin_islands	-1
uruguay	ecuador	-1
uruguay	guyana	-1
uruguay	grenada	-1
uruguay	guadeloupe	-1
uruguay	antigua_barbuda	-1
bahamas	united_states	-1
bahamas	jamaica	1
bahamas	honduras	1
bahamas	colombia	1
bahamas	mexico	1
bahamas	saint_kitts_nevis	1
bahamas	turks_caicos_islands	1
bahamas	sint_maarten	1
bahamas	saint_vincent_grenadines	1
bahamas	paraguay	1
bahamas	nicaragua	1
bahamas	barbados	1
bahamas	canada	-1
bahamas	united_states_virgin_islands	1
bahamas	curacao	1
bahamas	bolivia	1
bahamas	panama	1
bahamas	uruguay	1
bahamas	bermuda	-1
bahamas	aruba	1
bahamas	peru	1
bahamas	costa_rica	1
bahamas	anguilla	1
bahamas	venezuela	1
bahamas	french_guiana	1
bahamas	cayman_islands	1
bahamas	brazil	1
bahamas	trinidad_tobago	1
bahamas	dominican_republic	1
bahamas	cuba	1
bahamas	guatemala	1
bahamas	chile	1
bahamas	martinique	1
bahamas	haiti	1
bahamas	belize	1
bahamas	argentina	1
bahamas	dominica	1
bahamas	suriname	1
bahamas	saint_lucia	1
bahamas	el_salvador	1
bahamas	puerto_rico	1
bahamas	british_virgin_islands	1
bahamas	ecuador	1
bahamas	guyana	1
bahamas	grenada	1
bahamas	guadeloupe	1
bahamas	antigua_barbuda	1
bermuda	united_states	-1
bermuda	jamaica	1
bermuda	honduras	1
bermuda	colombia	1
bermuda	mexico	1
bermuda	saint_kitts_nevis	1
bermuda	turks_caicos_islands	1
bermuda	sint_maarten	1
bermuda	saint_vincent_grenadines	1
bermuda	paraguay	1
bermuda	nicaragua	1
bermuda	barbados	1
bermuda	canada	-1
bermuda	united_states_virgin_islands	1
bermuda	curacao	1
bermuda	bolivia	1
bermuda	panama	1
bermuda	uruguay	1
bermuda	bahamas	1
bermuda	aruba	1
bermuda	peru	1
bermuda	costa_rica	1
bermuda	anguilla	1
bermuda	venezuela	1
bermuda	french_guiana	1
bermuda	cayman_islands	1
bermuda	brazil	1
bermuda	trinidad_tobago	1
bermuda	dominican_republic	1
bermuda	cuba	1
bermuda	guatemala	1
bermuda	chile	1
bermuda	martinique	1
bermuda	haiti	1
bermuda	belize	1
bermuda	argentina	1
bermuda	dominica	1
bermuda	suriname	1
bermuda	saint_lucia	1
bermuda	el_salvador	1
bermuda	puerto_rico	1
bermuda	british_virgin_islands	1
bermuda	ecuador	1
bermuda	guyana	1
bermuda	grenada	1
bermuda	guadeloupe	1
bermuda	antigua_barbuda	1
aruba	united_states	-1
aruba	jamaica	-1
aruba	honduras	-1
aruba	colombia	1
aruba	mexico	-1
aruba	saint_kitts_nevis	-1
aruba	turks_caicos_islands	-1
aruba	sint_maarten	-1
aruba	saint_vincent_grenadines	-1
aruba	paraguay	1
aruba	nicaragua	1
aruba	barbados	-1
aruba	canada	-1
aruba	united_states_virgin_islands	-1
aruba	curacao	1
aruba	bolivia	1
aruba	panama	1
aruba	uruguay	1
aruba	bahamas	-1
aruba	bermuda	-1
aruba	peru	1
aruba	costa_rica	1
aruba	anguilla	-1
aruba	venezuela	1
aruba	french_guiana	1
aruba	cayman_islands	-1
aruba	brazil	1
aruba	trinidad_tobago	1
aruba	dominican_republic	-1
aruba	cuba	-1
aruba	guatemala	-1
aruba	chile	1
aruba	martinique	-1
aruba	haiti	-1
aruba	belize	-1
aruba	argentina	1
aruba	dominica	-1
aruba	suriname	1
aruba	saint_lucia	-1
aruba	el_salvador	-1
aruba	puerto_rico	-1
aruba	british_virgin_islands	-1
aruba	ecuador	1
aruba	guyana	1
aruba	grenada	1
aruba	guadeloupe	-1
aruba	antigua_barbuda	-1
peru	united_states	-1
peru	jamaica	-1
peru	honduras	-1
peru	colombia	-1
peru	mexico	-1
peru	saint_kitts_nevis	-1
peru	turks_caicos_islands	-1
peru	sint_maarten	-1
peru	saint_vincent_grenadines	-1
peru	paraguay	1
peru	nicaragua	-1
peru	barbados	-1
peru	canada	-1
peru	united_states_virgin_islands	-1
peru	curacao	-1
peru	bolivia	1
peru	panama	-1
peru	uruguay	1
peru	bahamas	-1
peru	bermuda	-1
peru	aruba	-1
peru	costa_rica	-1
peru	anguilla	-1
peru	venezuela	-1
peru	french_guiana	-1
peru	cayman_islands	-1
peru	brazil	1
peru	trinidad_tobago	-1
peru	dominican_republic	-1
peru	cuba	-1
peru	guatemala	-1
peru	chile	1
peru	martinique	-1
peru	haiti	-1
peru	belize	-1
